Date,Username,User tag,Content,Mentions,link
"2020-08-20,20:43:37","watashinokato","#0","我在参加顶上战争","","https://cdn.discordapp.com/attachments/650879635092930581/745956201094971453/unknown.png?ex=65e99a59&is=65d72559&hm=a130c97a919165a2f30f4a41bab642241b379652d94f872ec14776f2b2322fb5&"
"2020-08-20,20:53:52",".misoudon","#0","<@486098923488935948> 我好了","然_#5256",""
"2020-08-20,22:22:06","Deleted User","#0000","👴的彩虹羊8见了","",""
"2020-08-20,22:22:08","Deleted User","#0000","害怕","",""
"2020-08-20,22:22:18","然_","#5256","?","",""
"2020-08-20,22:22:18","itwillbe_fine","#0","？","",""
"2020-08-20,22:22:22","itwillbe_fine","#0","又搞","",""
"2020-08-20,22:22:24","itwillbe_fine","#0","不是","",""
"2020-08-20,22:22:34","itwillbe_fine","#0","这真的离谱","",""
"2020-08-20,22:33:58","然_","#5256","dyz","",""
"2020-08-20,22:43:57","watashinokato","#0","ni men kai le ma","",""
"2020-08-20,22:44:04","itwillbe_fine","#0","来啊","",""
"2020-08-20,22:44:29","watashinokato","#0","我好像中月读了","",""
"2020-08-20,22:45:52","itwillbe_fine","#0","来mc吧","",""
"2020-08-21,08:52:13",".misoudon","#0","爷的视频号回来了","",""
"2020-08-21,08:52:16",".misoudon","#0","阿哈哈哈哈哈哈","",""
"2020-08-21,08:52:45","Deleted User","#0000","视频号到底有啥用","",""
"2020-08-21,08:54:40",".misoudon","#0","就是微信版抖音","",""
"2020-08-21,09:04:53","Deleted User","#0000","henry倒了","",""
"2020-08-21,09:04:57","Deleted User","#0000","又没起","",""
"2020-08-21,09:05:07",".misoudon","#0","给他打电话","",""
"2020-08-21,09:05:23",".misoudon","#0","你别告诉我他又睡死了","",""
"2020-08-21,09:05:52","Deleted User","#0000","他昨天比我和will都早睡","",""
"2020-08-21,10:13:59","white_give","#0","you ren chong ma","",""
"2020-08-21,10:14:10",".misoudon","#0","你这节没课？","",""
"2020-08-21,10:14:26","white_give","#0","bu jiang xin dong x i","",""
"2020-08-21,10:14:34",".misoudon","#0","okok","",""
"2020-08-21,10:14:37",".misoudon","#0","等我五分钟","",""
"2020-08-21,10:14:43","white_give","#0","ok","",""
"2020-08-21,10:14:44",".misoudon","#0","我签个到","",""
"2020-08-21,10:14:49","white_give","#0","en1","",""
"2020-08-21,13:08:22",".misoudon","#0","<@688923339166711866> 噗哈哈哈哈哈","white_give#0",""
"2020-08-21,13:08:24",".misoudon","#0","这广告","",""
"2020-08-21,13:35:07","然_","#5256","quchifan","",""
"2020-08-21,13:37:09","white_give","#0","<@!534634605664403456> lol？",".misoudon#0",""
"2020-08-21,18:04:11","然_","#5256","痛痛痛痛痛痛痛","",""
"2020-08-21,18:35:39","然_","#5256","will","",""
"2020-08-21,18:35:42","然_","#5256","冲","",""
"2020-08-21,18:37:37","然_","#5256","<@!650875400813150208>","itwillbe_fine#0",""
"2020-08-21,18:41:44",".misoudon","#0","五分钟","",""
"2020-08-21,18:41:56","然_","#5256","别呀","",""
"2020-08-21,18:41:58","然_","#5256","先开","",""
"2020-08-21,18:42:14","然_","#5256","你先进来把","",""
"2020-08-21,18:45:00","然_","#5256","？？？？？？","",""
"2020-08-21,18:45:00","Deleted User","#0000","<@!534634605664403456>",".misoudon#0",""
"2020-08-21,20:01:32","然_","#5256","https://www.bilibili.com/video/BV1c54y1D7Xv/","",""
"2020-08-21,20:04:00","然_","#5256","https://www.bilibili.com/video/BV1QV411z7zF/","",""
"2020-08-21,20:05:58","然_","#5256","https://www.bilibili.com/video/BV1rD4y1U7uR/","",""
"2020-08-21,20:06:23","然_","#5256","https://www.bilibili.com/video/BV1TV411U7nE/","",""
"2020-08-21,20:12:52","itwillbe_fine","#0","你说的对，但是乌拉圭的人口有345.7万，同时，仅澳大利亚就有4700万只袋鼠。 如果袋鼠决定入侵乌拉圭，那么每一个乌拉圭人要打14只袋鼠，你不知道，你不在乎，你只关心你自己","",""
"2020-08-21,20:18:35","然_","#5256","https://www.bilibili.com/video/BV1zZ4y1K7tR/","",""
"2020-08-21,20:23:37","然_","#5256","1000-7= 1+14*5*14+(-11+4+5+14)","",""
"2020-08-21,20:24:08",".misoudon","#0","993","",""
"2020-08-21,21:15:39",".misoudon","#0","我错了","",""
"2020-08-22,01:46:27","itwillbe_fine","#0","你们打吧","",""
"2020-08-22,01:46:34","然_","#5256","mc","",""
"2020-08-22,01:46:56",".misoudon","#0","他睡了","",""
"2020-08-22,01:50:56","然_","#5256","1","",""
"2020-08-22,01:50:58","然_","#5256","wanma","",""
"2020-08-22,01:51:17",".misoudon","#0","我吃点东西","",""
"2020-08-22,01:51:19","watashinokato","#0","lai","",""
"2020-08-22,01:51:29","然_","#5256","ok","",""
"2020-08-22,04:19:24","Deleted User","#0000","起飞","",""
"2020-08-22,04:40:51","Deleted User","#0000","飞","",""
"2020-08-22,14:42:45","watashinokato","#0","有人lol吗","",""
"2020-08-22,16:22:47","Deleted User","#0000","😭","",""
"2020-08-22,16:23:03",".misoudon","#0","刚醒","",""
"2020-08-22,16:23:13","然_","#5256","我也是","",""
"2020-08-22,16:23:26","Deleted User","#0000","我12点醒的","",""
"2020-08-22,16:24:53","然_","#5256","女巫塔修好了","",""
"2020-08-22,16:24:58","然_","#5256","只刷女巫了","",""
"2020-08-22,16:25:12","Deleted User","#0000","👍","",""
"2020-08-22,19:40:18","然_","#5256","有无观众","",""
"2020-08-22,19:40:50","white_give","#0","1","",""
"2020-08-22,20:50:46","Deleted User","#0000","<@!650875400813150208>","itwillbe_fine#0",""
"2020-08-22,20:56:44","white_give","#0","https://nbabite.com/","",""
"2020-08-22,20:57:06","white_give","#0","<@!714137754694451271>","watashinokato#0",""
"2020-08-22,22:34:26","white_give","#0","<@456226577798135808>","Deleted User#0000",""
"2020-08-22,22:34:29","white_give","#0","lao po","",""
"2020-08-22,22:34:32","white_give","#0","lai ma","",""
"2020-08-22,22:34:43","white_give","#0","puo","",""
"2020-08-22,22:34:56",".misoudon","#0","pua","",""
"2020-08-22,22:34:59","white_give","#0","老婆","",""
"2020-08-22,22:35:00","然_","#5256","pr","",""
"2020-08-22,23:26:29","watashinokato","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/746721962285465610/unknown.png?ex=65ec6385&is=65d9ee85&hm=15fb59a57e155ea015749ab73e9f41e441e43de3e7f1a2f321f060a245305307&"
"2020-08-22,23:26:43","watashinokato","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/746722022322864209/unknown.png?ex=65ec6393&is=65d9ee93&hm=e42b2fb3f6c8c0f970e8fda3034bc5cae51fba0e86f76f1bde61eefdd6466a65&"
"2020-08-22,23:27:04","watashinokato","#0","事实证明冰锤性价比高于狂徒","",""
"2020-08-22,23:49:33","watashinokato","#0","来了","",""
"2020-08-23,08:14:16","Deleted User","#0000","早","",""
"2020-08-23,08:15:50","Deleted User","#0000","熬夜后遗症出现了 我十点就困了","",""
"2020-08-23,09:32:02","Deleted User","#0000","梦回白银二","",""
"2020-08-23,09:33:06","Deleted User","#0000","原来jg 真的可以影响整个比赛","",""
"2020-08-23,11:16:46","white_give","#0","hhhhh","",""
"2020-08-23,15:03:52","watashinokato","#0","lol","",""
"2020-08-23,16:12:58","然_","#5256","1","",""
"2020-08-23,16:14:42","watashinokato","#0","<@!486098923488935948> 来","然_#5256",""
"2020-08-23,17:22:29","itwillbe_fine","#0","<@!688923339166711866> <@!534634605664403456> <@!486098923488935948> <@456226577798135808> <@!714137754694451271> lol 有无人",".misoudon#0、watashinokato#0、然_#5256、white_give#0、Deleted User#0000",""
"2020-08-23,17:22:46","然_","#5256","可以","",""
"2020-08-23,17:22:55","Deleted User","#0000","dd","",""
"2020-08-23,17:24:20","white_give","#0","d","",""
"2020-08-23,17:24:26","white_give","#0","你老母","",""
"2020-08-23,17:24:30","itwillbe_fine","#0","cnm","",""
"2020-08-23,17:24:45","Deleted User","#0000","d雷娄姆","",""
"2020-08-23,21:29:00","watashinokato","#0","<@456226577798135808> <@!650875400813150208> <@!688923339166711866> <@!486098923488935948> <@!534634605664403456> 有人玩吗",".misoudon#0、itwillbe_fine#0、然_#5256、white_give#0、Deleted User#0000",""
"2020-08-24,10:55:38","然_","#5256","1","",""
"2020-08-24,11:06:58","itwillbe_fine","#0","极地🈶️🈚️人","",""
"2020-08-24,11:08:42","watashinokato","#0","我搞一把","",""
"2020-08-24,12:02:58","Deleted User","#0000","我人裂了","",""
"2020-08-24,12:03:08",".misoudon","#0","？","",""
"2020-08-24,12:03:09","Deleted User","#0000","chiappa的背景","",""
"2020-08-24,12:03:12","itwillbe_fine","#0","离谱","",""
"2020-08-24,12:03:21","itwillbe_fine","#0","老min玩家了","",""
"2020-08-24,12:03:37","Deleted User","#0000","","","https://cdn.discordapp.com/attachments/650879635092930581/747274887923499119/Screen_Shot_2020-08-24_at_12.03.19_pm.png?ex=65ee6678&is=65dbf178&hm=5ff4aa9a9cf172d9780d84aa7ad9e260b34ca43859f142c8413d3613f420969c&"
"2020-08-24,12:03:40","然_","#5256","离谱","",""
"2020-08-24,12:03:50","Deleted User","#0000","哈哈哈哈哈哈哈哈哈哈哈","",""
"2020-08-24,12:03:53","Deleted User","#0000","这什么阿","",""
"2020-08-24,12:03:56","Deleted User","#0000","我笑了","",""
"2020-08-24,12:04:11",".misoudon","#0","噗哈哈哈哈哈","",""
"2020-08-24,12:04:22",".misoudon","#0","这时候","",""
"2020-08-24,12:04:27",".misoudon","#0","你们开手mc","",""
"2020-08-24,12:04:42",".misoudon","#0","在开手screen share","",""
"2020-08-24,12:04:56",".misoudon","#0","直接全屏mc","",""
"2020-08-24,12:32:41","watashinokato","#0","看连招猜英雄","","https://cdn.discordapp.com/attachments/650879635092930581/747282206103175318/unknown.png?ex=65ee6d49&is=65dbf849&hm=1cc6f51eacf0dfa87eafe8054af4ceb5b373a0838c0bda58aee32d04a19413df&"
"2020-08-24,13:03:59","white_give","#0","看着像鳄鱼","",""
"2020-08-24,13:07:15","watashinokato","#0","也可以是ez","",""
"2020-08-24,13:07:43",".misoudon","#0","日女？","",""
"2020-08-24,13:30:52","itwillbe_fine","#0","也可以是🌳","",""
"2020-08-24,13:35:49","然_","#5256","中文要开摄像头吗","",""
"2020-08-24,13:41:44","itwillbe_fine","#0","不是今天考吧","",""
"2020-08-24,13:55:29","然_","#5256","今天课堂practice啊","",""
"2020-08-24,13:55:31","然_","#5256","不是吗","",""
"2020-08-24,13:58:04","itwillbe_fine","#0","对","",""
"2020-08-24,13:58:10","itwillbe_fine","#0","我的","",""
"2020-08-24,13:58:28","然_","#5256","要开吗","",""
"2020-08-24,13:58:30","然_","#5256","害怕","",""
"2020-08-24,14:09:27","itwillbe_fine","#0","好蠢啊md","",""
