Date,Username,User tag,Content,Mentions,link
"2020-09-19,12:22:50","Deleted User","#0000","","","https://cdn.discordapp.com/attachments/650879635092930581/756701811632504872/Screen_Shot_2020-09-19_at_12.22.33_pm.png?ex=65ebc7fa&is=65d952fa&hm=50c776113dda3e61fa14003f0ff1eaa8774608f7316d1c727c4b5f17cb5eb79d&"
"2020-09-19,12:23:01","Deleted User","#0000","6福星太傻了","",""
"2020-09-19,13:38:10","white_give","#0","-1年","",""
"2020-09-19,13:38:38","Deleted User","#0000","已经消耗完了","",""
"2020-09-19,13:38:45","Deleted User","#0000","第二把掉分了","",""
"2020-09-19,13:40:23","white_give","#0","真的离谱你这个玩家","",""
"2020-09-19,15:34:49","然_","#5256","1","",""
"2020-09-19,17:36:17","watashinokato","#0","<@!486098923488935948> <@!688923339166711866> <@456226577798135808> <@!650875400813150208> <@!534634605664403456> lol 人？",".misoudon#0、itwillbe_fine#0、然_#5256、white_give#0、Deleted User#0000",""
"2020-09-19,17:40:10","然_","#5256","1","",""
"2020-09-19,17:46:48","然_","#5256","等一下他们？","",""
"2020-09-19,17:47:13","watashinokato","#0","嗯","",""
"2020-09-19,18:00:59","Deleted User","#0000","来了","",""
"2020-09-19,20:17:59","Deleted User","#0000","<@!688923339166711866>","white_give#0",""
"2020-09-19,21:52:33","itwillbe_fine","#0","🤚 🤚 🤚 🤚 🤚 🤚 🤚 🤚 🤚 🤚 🤚 🤚 🤚 🤚 🤚 🤚","",""
"2020-09-19,23:29:49","Deleted User","#0000","5 8 5 8 5","",""
"2020-09-20,02:06:38","然_","#5256","https://www.bilibili.com/video/BV1iT4y1w7QG/","",""
"2020-09-20,14:08:48","Deleted User","#0000","我自己弄点东西吃","",""
"2020-09-20,14:08:53","white_give","#0","ok","",""
"2020-09-20,15:59:14","watashinokato","#0","<@!688923339166711866> <@456226577798135808> <@!486098923488935948> <@!650875400813150208> <@!534634605664403456>  lol 人？",".misoudon#0、itwillbe_fine#0、然_#5256、white_give#0、Deleted User#0000",""
"2020-09-20,16:02:44","Deleted User","#0000","可以","",""
"2020-09-20,16:03:39","watashinokato","#0","来","",""
"2020-09-20,18:27:09","Deleted User","#0000","人齐了叫我","",""
"2020-09-20,19:46:23","然_","#5256","1","",""
"2020-09-20,19:46:24","然_","#5256","1","",""
"2020-09-20,19:46:24","然_","#5256","1","",""
"2020-09-20,19:52:31","Deleted User","#0000","还有人吗","",""
"2020-09-20,19:52:38","Deleted User","#0000","无了我开单排了","",""
"2020-09-20,19:56:02","itwillbe_fine","#0","?","",""
