Date,Username,User tag,Content,Mentions,link
"2023-12-02,23:19:54","watashinokato","#0","我再想办法让队友秒","",""
"2023-12-02,23:20:30","然_","#5256","11","",""
"2023-12-02,23:23:22","watashinokato","#0","1","",""
"2023-12-04,21:03:47",".misoudon","#0","tmd","",""
"2023-12-04,21:03:59",".misoudon","#0","这游戏客户端崩了？","",""
"2023-12-04,23:13:52","然_","#5256","🈶️🈚️五排选手😋","",""
"2023-12-04,23:33:16","xx_lpyyds","#0","😋","",""
"2023-12-04,23:33:31","okainotonline","#0","🖕","",""
"2023-12-04,23:33:37","xx_lpyyds","#0","?","",""
"2023-12-04,23:33:59","okainotonline","#0","🤡","",""
"2023-12-04,23:34:12","xx_lpyyds","#0","🍏 🍎 🍐 🍊 🍋 🍌 🍉 🍇 🫐","",""
"2023-12-04,23:34:20","okainotonline","#0","🖕 🤪 🖕","",""
"2023-12-04,23:34:29","xx_lpyyds","#0","🍏🍎🍐🍊🍋🍌🍉🍇🫐🍓🍈🍒🍑🥭🍍🥥🥝🍅🍆🥑🫒🥦🥬🫑🥒🌶️🌽🥕🧄🧅🥔🍠🥐🥯🍞🥖🫓🥨🧀🥚🍳🧈🥞🧇🥓🥩🍗🍖🦴🌭🍔🍟🍕🥪🥙🧆🌮🌯🫔🥗🥘🫕🥫🫙🍝🍜🍛🍲🍣🍱🥟🦪🍡🍢🥮🥠🍥🍘🍚🍙🍤🍧🍨🍦🥧🧁🍰🎂🍮🍭🍯🫘🥜🌰🍪🍩🍿🍫🍬🥛🫗🍼🫖☕🍵🧉🧃🥤🧋🍶🍺🍻🥂🍷🥃🍸🍹🍾🧂🧊","",""
"2023-12-04,23:34:32","xx_lpyyds","#0","🍏🍎🍐🍊🍋🍌🍉🍇🫐🍓🍈🍒🍑🥭🍍🥥🥝🍅🍆🥑🫒🥦🥬🫑🥒🌶️🌽🥕🧄🧅🥔🍠🥐🥯🍞🥖🫓🥨🧀🥚🍳🧈🥞🧇🥓🥩🍗🍖🦴🌭🍔🍟🍕🥪🥙🧆🌮🌯🫔🥗🥘🫕🥫🫙🍝🍜🍛🍲🍣🍱🥟🦪🍡🍢🥮🥠🍥🍘🍚🍙🍤🍧🍨🍦🥧🧁🍰🎂🍮🍭🍯🫘🥜🌰🍪🍩🍿🍫🍬🥛🫗🍼🫖☕🍵🧉🧃🥤🧋🍶🍺🍻🥂🍷🥃🍸🍹🍾🧂🧊","",""
"2023-12-04,23:34:32","然_","#5256","☝️🤓","",""
"2023-12-04,23:34:33","xx_lpyyds","#0","🍏🍎🍐🍊🍋🍌🍉🍇🫐🍓🍈🍒🍑🥭🍍🥥🥝🍅🍆🥑🫒🥦🥬🫑🥒🌶️🌽🥕🧄🧅🥔🍠🥐🥯🍞🥖🫓🥨🧀🥚🍳🧈🥞🧇🥓🥩🍗🍖🦴🌭🍔🍟🍕🥪🥙🧆🌮🌯🫔🥗🥘🫕🥫🫙🍝🍜🍛🍲🍣🍱🥟🦪🍡🍢🥮🥠🍥🍘🍚🍙🍤🍧🍨🍦🥧🧁🍰🎂🍮🍭🍯🫘🥜🌰🍪🍩🍿🍫🍬🥛🫗🍼🫖☕🍵🧉🧃🥤🧋🍶🍺🍻🥂🍷🥃🍸🍹🍾🧂🧊","",""
"2023-12-04,23:34:34","xx_lpyyds","#0","🍏🍎🍐🍊🍋🍌🍉🍇🫐🍓🍈🍒🍑🥭🍍🥥🥝🍅🍆🥑🫒🥦🥬🫑🥒🌶️🌽🥕🧄🧅🥔🍠🥐🥯🍞🥖🫓🥨🧀🥚🍳🧈🥞🧇🥓🥩🍗🍖🦴🌭🍔🍟🍕🥪🥙🧆🌮🌯🫔🥗🥘🫕🥫🫙🍝🍜🍛🍲🍣🍱🥟🦪🍡🍢🥮🥠🍥🍘🍚🍙🍤🍧🍨🍦🥧🧁🍰🎂🍮🍭🍯🫘🥜🌰🍪🍩🍿🍫🍬🥛🫗🍼🫖☕🍵🧉🧃🥤🧋🍶🍺🍻🥂🍷🥃🍸🍹🍾🧂🧊","",""
"2023-12-04,23:34:35","xx_lpyyds","#0","🍏🍎🍐🍊🍋🍌🍉🍇🫐🍓🍈🍒🍑🥭🍍🥥🥝🍅🍆🥑🫒🥦🥬🫑🥒🌶️🌽🥕🧄🧅🥔🍠🥐🥯🍞🥖🫓🥨🧀🥚🍳🧈🥞🧇🥓🥩🍗🍖🦴🌭🍔🍟🍕🥪🥙🧆🌮🌯🫔🥗🥘🫕🥫🫙🍝🍜🍛🍲🍣🍱🥟🦪🍡🍢🥮🥠🍥🍘🍚🍙🍤🍧🍨🍦🥧🧁🍰🎂🍮🍭🍯🫘🥜🌰🍪🍩🍿🍫🍬🥛🫗🍼🫖☕🍵🧉🧃🥤🧋🍶🍺🍻🥂🍷🥃🍸🍹🍾🧂🧊","",""
"2023-12-04,23:34:36","xx_lpyyds","#0","🍏🍎🍐🍊🍋🍌🍉🍇🫐🍓🍈🍒🍑🥭🍍🥥🥝🍅🍆🥑🫒🥦🥬🫑🥒🌶️🌽🥕🧄🧅🥔🍠🥐🥯🍞🥖🫓🥨🧀🥚🍳🧈🥞🧇🥓🥩🍗🍖🦴🌭🍔🍟🍕🥪🥙🧆🌮🌯🫔🥗🥘🫕🥫🫙🍝🍜🍛🍲🍣🍱🥟🦪🍡🍢🥮🥠🍥🍘🍚🍙🍤🍧🍨🍦🥧🧁🍰🎂🍮🍭🍯🫘🥜🌰🍪🍩🍿🍫🍬🥛🫗🍼🫖☕🍵🧉🧃🥤🧋🍶🍺🍻🥂🍷🥃🍸🍹🍾🧂🧊","",""
"2023-12-04,23:34:52","xx_lpyyds","#0","🖕","",""
"2023-12-04,23:36:06","okainotonline","#0","https://tenor.com/view/yeonjunfication-nickado-avocado-gif-22325142","",""
"2023-12-05,00:39:34","xx_lpyyds","#0","<@688923339166711866>","white_give#0",""
"2023-12-05,00:39:51","xx_lpyyds","#0","<@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866>","white_give#0",""
"2023-12-05,00:39:56","white_give","#0","https://tenor.com/view/team-liquid-raz-league-of-legends-minions-gif-23860292","",""
"2023-12-05,00:40:16","white_give","#0","2mins","",""
"2023-12-05,00:45:25","xx_lpyyds","#0","<@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866> <@688923339166711866>","white_give#0",""
"2023-12-05,00:45:33","然_","#5256","rennerennerennerenne","",""
"2023-12-05,00:47:08","white_give","#0","马上马上","",""
"2023-12-05,21:51:24",".misoudon","#0","稍等","",""
"2023-12-05,21:51:26",".misoudon","#0","接个电话","",""
"2023-12-05,21:53:51","white_give","#0","<a:ExcuseMe:740191411437305866>","",""
"2023-12-05,21:54:00",".misoudon","#0","我妹","",""
"2023-12-06,00:25:17","然_","#5256","☝️🤓","",""
"2023-12-06,00:25:18",".misoudon","#0","<@486098923488935948>","然_#5256",""
"2023-12-06,00:25:23",".misoudon","#0","现实一个月哈","",""
"2023-12-06,00:25:29",".misoudon","#0","明年给老子换掉","",""
"2023-12-06,00:25:38","white_give","#0","https://tenor.com/view/leonardo-dicaprio-clapping-clap-applause-amazing-gif-16078907558888063471","",""
"2023-12-06,01:58:13","okainotonline","#0","😴","",""
"2023-12-06,14:56:56","xx_lpyyds","#0","这个点就开玩？","",""
"2023-12-06,14:57:04","xx_lpyyds","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1181806492463149066/IMG_8921.jpg?ex=65f12410&is=65deaf10&hm=d0ff46eeb83537ce1d87e8f74d3931b74c83bae7cc83a7975569a5ecd1638d16&"
"2023-12-06,14:57:11","okainotonline","#0","小玩","",""
"2023-12-06,14:57:13",".misoudon","#0","看主播","",""
"2023-12-06,14:57:22","okainotonline","#0","https://media.discordapp.net/attachments/1004772486895902820/1161192951762919424/v2-376a538316a1a7ecc1b9030785a07ca1_b.gif?ex=65376835&is=6524f335&hm=71a9bb4462e3055d588ff87efb2f47bf74cef0c9f8052ad1c0192dc7073fb586&","",""
"2023-12-06,21:23:10","xx_lpyyds","#0","1","",""
"2023-12-06,21:23:21","malappc","#0","2","",""
"2023-12-06,21:23:28","okainotonline","#0","3","",""
"2023-12-06,21:23:35","jackyhe30","#0","4","",""
"2023-12-06,21:23:49",".misoudon","#0","4","",""
"2023-12-06,21:25:00","然_","#5256","1","",""
"2023-12-06,21:25:16","jackyhe30","#0","帅","",""
"2023-12-06,21:25:24","xx_lpyyds","#0","哪个才是真正的威廉呢😋","",""
"2023-12-06,21:25:43","jackyhe30","#0","元歌来噜","",""
"2023-12-06,21:25:55","然_","#5256","😋","",""
"2023-12-06,21:26:00",".misoudon","#0","你猜猜","",""
"2023-12-06,21:26:42","然_","#5256","今天状态巨好，双排随便打","",""
"2023-12-06,21:26:54","然_","#5256","有无人OO","",""
"2023-12-06,21:27:01",".misoudon","#0","111","",""
"2023-12-06,21:28:03","然_","#5256","我想打自己的号🥹","",""
"2023-12-06,21:28:08","然_","#5256","或者晚点也行","",""
"2023-12-06,21:28:11",".misoudon","#0","QAQ","",""
"2023-12-06,21:28:13","然_","#5256","让我先打两把","",""
"2023-12-06,21:28:16",".misoudon","#0","嫌弃我","",""
"2023-12-06,21:28:22",".misoudon","#0","懂了","",""
"2023-12-06,21:28:27","然_","#5256","？","",""
"2023-12-06,21:28:35","然_","#5256","没事马上铂金","",""
"2023-12-06,21:28:41","然_","#5256","🤓👌","",""
"2023-12-06,21:28:53",".misoudon","#0","🥲","",""
"2023-12-06,21:29:03","然_","#5256","我十分相信","",""
"2023-12-06,21:29:09",".misoudon","#0","🥲","",""
"2023-12-06,21:29:15","然_","#5256","🥹","",""
"2023-12-06,21:29:22",".misoudon","#0","😭","",""
"2023-12-06,21:34:21",".misoudon","#0","有人登录的进去吗","",""
"2023-12-06,21:35:58","xx_lpyyds","#0","怎么说","",""
"2023-12-06,21:36:04","xx_lpyyds","#0","来 我跟你打","",""
"2023-12-06,21:36:07",".misoudon","#0","ok","",""
"2023-12-06,21:36:35",".misoudon","#0","稍等啊哈","",""
"2023-12-06,21:36:39",".misoudon","#0","我登不上去","",""
"2023-12-06,21:36:42",".misoudon","#0","我看下啊咋回事","",""
"2023-12-06,21:37:19","xx_lpyyds","#0","要更新","",""
"2023-12-06,23:09:18","然_","#5256","4=1","",""
"2023-12-06,23:09:29","xx_lpyyds","#0","🖕","",""
"2023-12-06,23:50:19","然_","#5256","😀😃","",""
"2023-12-06,23:50:19",".misoudon","#0","😀","",""
"2023-12-06,23:50:33","watashinokato","#0","😃","",""
"2023-12-06,23:50:33",".misoudon","#0","😀","",""
"2023-12-06,23:50:34","xx_lpyyds","#0","😃","",""
"2023-12-06,23:50:34","然_","#5256","😃","",""
"2023-12-06,23:50:50",".misoudon","#0","😃","",""
"2023-12-06,23:50:51","watashinokato","#0","😃","",""
"2023-12-06,23:50:51","然_","#5256","😃","",""
"2023-12-06,23:50:51","xx_lpyyds","#0","😀","",""
"2023-12-06,23:51:54","然_","#5256","😃","",""
"2023-12-06,23:51:55",".misoudon","#0","😃","",""
"2023-12-06,23:51:55","watashinokato","#0","😃","",""
"2023-12-06,23:51:56","xx_lpyyds","#0","🖕","",""
"2023-12-06,23:52:05",".misoudon","#0","😀","",""
"2023-12-06,23:52:06","watashinokato","#0","😀","",""
"2023-12-06,23:52:06","然_","#5256","😃","",""
"2023-12-06,23:53:55","okainotonline","#0","😅","",""
"2023-12-06,23:54:10","然_","#5256","😃","",""
"2023-12-06,23:54:27","okainotonline","#0","🖕","",""
"2023-12-06,23:54:33",".misoudon","#0","<@714137754694451271> 你人呢","watashinokato#0",""
"2023-12-06,23:54:55","watashinokato","#0","上个厕所","",""
"2023-12-06,23:55:03","xx_lpyyds","#0","😅","",""
"2023-12-06,23:55:22","然_","#5256","😀","",""
"2023-12-06,23:55:26","xx_lpyyds","#0","🖕 😮 🖕","",""
"2023-12-06,23:55:26",".misoudon","#0","😅","",""
"2023-12-06,23:55:40","okainotonline","#0","🖕🤪🖕","",""
"2023-12-06,23:55:50","然_","#5256","👆 🤡 👇","",""
"2023-12-06,23:55:59","xx_lpyyds","#0","😅 👎","",""
"2023-12-06,23:56:49","jackyhe30","#0","😃","",""
"2023-12-06,23:56:56","然_","#5256","😀","",""
"2023-12-06,23:57:04","xx_lpyyds","#0","🤓 👎","",""
"2023-12-06,23:57:06","jackyhe30","#0","😃","",""
"2023-12-06,23:57:10","okainotonline","#0","🐷👃","",""
"2023-12-06,23:57:15","然_","#5256","👆 🤓","",""
"2023-12-06,23:57:20","jackyhe30","#0","我刚进来lewis就骂我","",""
"2023-12-06,23:57:25","jackyhe30","#0","😭","",""
"2023-12-06,23:57:28","xx_lpyyds","#0","🖕🤓🖕","",""
"2023-12-06,23:57:37","然_","#5256","lewis是這樣的","",""
"2023-12-06,23:57:40","然_","#5256","理解一下","",""
"2023-12-06,23:57:54","jackyhe30","#0","🫨🔨","",""
"2023-12-06,23:58:02","xx_lpyyds","#0","🍆 💦","",""
"2023-12-06,23:58:15","jackyhe30","#0","😋","",""
"2023-12-07,00:01:01","xx_lpyyds","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1181943381782450206/IMG_8921.png?ex=65f1a38d&is=65df2e8d&hm=ee665fc680ac5e1589bba3ea2678a13b2e2ee9a6bae5a7ce89d2f819d90c2b95&"
"2023-12-07,00:47:19",".misoudon","#0","<@714137754694451271>","watashinokato#0",""
"2023-12-07,00:47:29",".misoudon","#0","4 + 1","",""
"2023-12-07,00:47:48","malappc","#0","怎么没人叫我🥀","",""
"2023-12-07,00:47:52","malappc","#0","心碎了","",""
"2023-12-07,00:49:45","white_give","#0","https://tenor.com/view/mike-taylor-why-why-me-me-slide-gif-15024288","",""
"2023-12-07,02:43:10",".misoudon","#0","<@688923339166711866>","white_give#0",""
